title,url,description,tags
MDN Web Docs,https://developer.mozilla.org/,Reference docs for modern web APIs.,"frontend,learning"
React Docs,https://react.dev/,Official React reference and guides.,"frontend,learning"
Next.js Docs,https://nextjs.org/docs,Framework docs for routing and rendering.,"frontend,learning"
TypeScript Handbook,https://www.typescriptlang.org/docs/,Type system guides and language reference.,"frontend,backend"
Node.js Docs,https://nodejs.org/docs/latest/api/,Runtime API documentation and examples.,"backend,learning"
Prisma Docs,https://www.prisma.io/docs,ORM guides for schema and queries.,"database,backend"
PostgreSQL Docs,https://www.postgresql.org/docs/,Official database manuals and SQL reference.,"database,learning"
OWASP Top 10,https://owasp.org/www-project-top-ten/,Security risks and prevention checklist.,"security,learning"
Cloudflare Docs,https://developers.cloudflare.com/,Edge network and security product docs.,"cloud,security"
GitHub Docs,https://docs.github.com/,Collaboration and workflow documentation.,"dev-tools,learning"
Docker Docs,https://docs.docker.com/,Container fundamentals and deployment docs.,"dev-tools,backend"
Kubernetes Docs,https://kubernetes.io/docs/,Container orchestration tutorials and references.,"cloud,backend"
Terraform Docs,https://developer.hashicorp.com/terraform/docs,Infrastructure as code documentation.,"cloud,dev-tools"
OpenAI Docs,https://platform.openai.com/docs,API references for AI integrations.,"ai,learning"
Anthropic Docs,https://docs.anthropic.com/,Developer docs for Claude API workflows.,"ai,learning"
Hugging Face Docs,https://huggingface.co/docs,Model hub and transformers documentation.,"ai,learning"
Figma Help Center,https://help.figma.com/,Design tool help articles and best practices.,"design,learning"
Tailwind CSS Docs,https://tailwindcss.com/docs,Utility first CSS framework docs.,"frontend,design"
shadcn/ui Docs,https://ui.shadcn.com/docs,Component recipes and accessibility patterns.,"frontend,design"
Radix UI Docs,https://www.radix-ui.com/primitives/docs/overview/introduction,Unstyled primitives for robust UI.,"frontend,design"
Storybook Docs,https://storybook.js.org/docs,Component development and documentation workflows.,"frontend,dev-tools"
Vitest Guide,https://vitest.dev/guide/,Fast test runner usage and configuration.,"dev-tools,frontend"
Playwright Docs,https://playwright.dev/docs/intro,End to end browser testing framework docs.,"dev-tools,frontend"
Jest Docs,https://jestjs.io/docs/getting-started,Unit testing setup and matcher references.,"dev-tools,frontend"
Cypress Docs,https://docs.cypress.io/,Browser based test automation documentation.,"dev-tools,frontend"
Sentry Docs,https://docs.sentry.io/,Error monitoring setup and observability guides.,"security,backend"
Prometheus Docs,https://prometheus.io/docs/introduction/overview/,Metrics collection and alerting reference.,"backend,cloud"
Grafana Docs,https://grafana.com/docs/,Dashboards and monitoring platform guides.,"cloud,backend"
Redis Docs,https://redis.io/docs/latest/,In memory data store docs and commands.,"database,backend"
MongoDB Docs,https://www.mongodb.com/docs/,NoSQL database references and tutorials.,"database,backend"
Supabase Docs,https://supabase.com/docs,Postgres platform docs for app backends.,"database,cloud"
